flipped,year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket
False,2012,ALABAMA,AL,1,63,41,US HOUSE,1,gen,,False,JO BONNER,REPUBLICAN,False,TOTAL,196374,200676,False,20201202,False
False,2012,ALABAMA,AL,1,63,41,US HOUSE,2,gen,,False,MARTHA ROBY,REPUBLICAN,False,TOTAL,180591,283953,False,20201202,False
False,2012,ALABAMA,AL,1,63,41,US HOUSE,3,gen,,False,MIKE ROGERS,REPUBLICAN,False,TOTAL,175306,273930,False,20201202,False
False,2012,ALABAMA,AL,1,63,41,US HOUSE,4,gen,,False,ROBERT B. ADERHOLT,REPUBLICAN,False,TOTAL,199071,269118,False,20201202,False
False,2012,ALABAMA,AL,1,63,41,US HOUSE,5,gen,,False,MO BROOKS,REPUBLICAN,False,TOTAL,189185,291293,False,20201202,False
False,2012,ALABAMA,AL,1,63,41,US HOUSE,6,gen,,False,SPENCER BACHUS,REPUBLICAN,False,TOTAL,219262,308102,False,20201202,False
False,2012,ALABAMA,AL,1,63,41,US HOUSE,7,gen,,False,TERRI A. SEWELL,DEMOCRAT,False,TOTAL,232520,306558,False,20201202,False
False,2012,ALASKA,AK,2,94,81,US HOUSE,0,gen,,False,DON YOUNG,REPUBLICAN,False,TOTAL,185296,289804,False,20201202,False
True,2012,ARIZONA,AZ,4,86,61,US HOUSE,1,gen,,False,ANN KIRKPATRICK,DEMOCRAT,False,TOTAL,122774,251595,False,20201202,False
True,2012,ARIZONA,AZ,4,86,61,US HOUSE,2,gen,,False,RON BARBER,DEMOCRAT,False,TOTAL,147338,292279,False,20201202,False
True,2012,ARIZONA,AZ,4,86,61,US HOUSE,3,gen,,False,RA_L M. GRIJALVA,DEMOCRAT,False,TOTAL,98468,168698,False,20201202,False
True,2012,ARIZONA,AZ,4,86,61,US HOUSE,4,gen,,False,PAUL A. GOSAR,REPUBLICAN,False,TOTAL,162907,243760,False,20201202,False
False,2012,ARIZONA,AZ,4,86,61,US HOUSE,5,gen,,False,MATT SALMON,REPUBLICAN,False,TOTAL,183470,273059,False,20201202,False
False,2012,ARIZONA,AZ,4,86,61,US HOUSE,6,gen,,False,DAVID SCHWEIKERT,REPUBLICAN,False,TOTAL,179706,293177,False,20201202,False
False,2012,ARIZONA,AZ,4,86,61,US HOUSE,7,gen,,False,ED PASTOR,DEMOCRAT,False,TOTAL,104489,127827,False,20201202,False
True,2012,ARIZONA,AZ,4,86,61,US HOUSE,8,gen,,False,TRENT FRANKS,REPUBLICAN,False,TOTAL,172809,272791,False,20201202,False
False,2012,ARKANSAS,AR,5,71,42,US HOUSE,1,gen,,False,"ERIC A. """"RICK"""" CRAWFORD",REPUBLICAN,False,TOTAL,138800,246843,False,20201202,False
False,2012,ARKANSAS,AR,5,71,42,US HOUSE,2,gen,,False,TIM GRIFFIN,REPUBLICAN,False,TOTAL,158175,286598,False,20201202,False
False,2012,ARKANSAS,AR,5,71,42,US HOUSE,3,gen,,False,STEVE WOMACK,REPUBLICAN,False,TOTAL,186467,245660,False,20201202,False
True,2012,ARKANSAS,AR,5,71,42,US HOUSE,4,gen,,False,TOM COTTON,REPUBLICAN,False,TOTAL,154149,258953,False,20201202,False
True,2012,CALIFORNIA,CA,6,93,71,US HOUSE,1,gen,,False,DOUG LA MALFA,REPUBLICAN,False,TOTAL,168827,294213,False,20201202,False
True,2012,CALIFORNIA,CA,6,93,71,US HOUSE,2,gen,,False,JARED HUFFMAN,DEMOCRAT,False,TOTAL,226216,317526,False,20201202,False
True,2012,CALIFORNIA,CA,6,93,71,US HOUSE,3,gen,,False,JOHN GARAMENDI,DEMOCRAT,False,TOTAL,126882,233968,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,4,gen,,False,TOM MCCLINTOCK,REPUBLICAN,False,TOTAL,197803,323688,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,5,gen,,False,MIKE THOMPSON,DEMOCRAT,False,TOTAL,202872,272417,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,6,gen,,False,DORIS O. MATSUI,DEMOCRAT,False,TOTAL,160667,214073,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,7,gen,,False,AMI BERA,DEMOCRAT,False,TOTAL,141241,273291,False,20201202,False
True,2012,CALIFORNIA,CA,6,93,71,US HOUSE,8,gen,,False,PAUL COOK,REPUBLICAN,False,TOTAL,103093,179644,False,20201202,False
